seed,method,evaluations,expectation_ratio
20260424,Random,203.9,0.834
20260424,Heuristic,12.3,0.857
20260424,k-NN,52.9,0.852
20260424,TQA,18.5,0.843
20260424,GNN point,264.4,0.793
20260424,GCTR,15.0,0.858
1,Random,191.6,0.836
1,Heuristic,12.3,0.857
1,k-NN,52.9,0.852
1,TQA,18.5,0.843
1,GNN point,187.8,0.808
1,GCTR,15.5,0.852
2,Random,177.9,0.837
2,Heuristic,12.3,0.857
2,k-NN,52.9,0.852
2,TQA,18.5,0.843
2,GNN point,226.0,0.806
2,GCTR,15.0,0.858
3,Random,196.2,0.837
3,Heuristic,12.3,0.857
3,k-NN,52.9,0.852
3,TQA,18.5,0.843
3,GNN point,163.8,0.819
3,GCTR,24.9,0.852
